,1.0000,5.0000,10.0000,50.0000,100.0000,500.0000,1000.0000
0.0076,,,,,,,
0.0097,,,,,,,
0.0124,,,,,,,
0.0158,,,,,,,
0.0202,,,,,,,
0.0258,,,,,,,
0.0329,,,,,,,
0.0419,,,,,,,
0.0535,,,,,,,
0.0683,,,,,,,
0.0872,,,,,,,
0.1113,,,,,,,
0.1420,,,,,,,
0.1813,,,,,,,
0.2314,,,,,,,
0.2953,,,,,,,
0.3769,,,,,,,
0.4810,,,,,,,
0.6139,,,,,,,
0.7835,,,,,,,
1.0000,,,,,,,
1.2763,,,,,,,
1.6289,,,,,,,
2.0789,,,,,,,
2.6533,,,,,,,
3.3864,,,,,,,
4.3219,,,,,,,
5.5160,,,,,,,
7.0400,,,,,,,
8.9850,,,,,,,
11.4674,,,,,,,
14.6356,,,,,,,
18.6792,,,,,,,
23.8399,,,,,,,
30.4264,,,,,,,
38.8327,,,,,,,
49.5614,,,,,,,
63.2544,,,,,,,
80.7304,,,,,,,
103.0347,,,,,,,
131.5013,,,,,,,
-100.0000,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-95.0000,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-90.0000,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-85.0000,0.3867,0.3867,0.3867,0.3867,0.3867,0.3867,0.3867
-80.0000,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933
-75.0000,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933
-70.0000,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933
-65.0000,0.5067,0.5067,0.5067,0.5067,0.5067,0.5067,0.5067
-60.0000,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467
-55.0000,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000
-50.0000,0.6133,0.6133,0.6133,0.6133,0.6133,0.6133,0.6133
-45.0000,0.6933,0.7067,0.7067,0.7067,0.7067,0.7067,0.7067
-40.0000,0.8133,0.8133,0.8133,0.8133,0.8133,0.8133,0.8133
-35.0000,0.8933,0.8933,0.8933,0.8933,0.8933,0.8933,0.8933
-30.0000,0.9467,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333
-25.0000,0.9733,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600
-20.0000,0.9600,0.9467,0.9733,0.9733,0.9733,0.9733,0.9733
-15.0000,0.9600,0.9467,0.9467,0.9733,0.9733,0.9733,0.9733
-10.0000,0.9600,0.9467,0.9467,0.9733,0.9733,0.9733,0.9733
-5.0000,0.9600,0.9733,0.9600,0.9467,0.9467,0.9600,0.9600
0.0000,0.9867,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600
5.0000,0.9600,0.9600,0.9733,0.9600,0.9733,0.9467,0.9333
10.0000,0.9867,0.9867,0.9733,0.9600,0.9600,0.9467,0.9200
15.0000,0.9867,0.9867,0.9733,0.9600,0.9733,0.9467,0.9600
20.0000,0.9467,0.9733,0.9733,0.9600,0.8933,0.9733,0.9733
25.0000,0.9467,0.9600,0.9733,0.9733,0.9733,0.9733,0.9600
30.0000,0.8267,0.9467,0.9733,0.9867,0.9600,0.9733,0.9733
35.0000,0.8000,0.9200,0.9600,0.9733,0.9733,0.9867,0.9733
40.0000,0.9067,0.8400,0.8933,0.9067,0.9600,0.9867,0.9867
45.0000,0.7733,0.8267,0.8400,0.9200,0.9867,0.9600,0.9600
50.0000,0.6667,0.8800,0.9200,0.9600,0.9600,0.9867,0.9867
55.0000,0.6667,0.8533,0.8933,0.9200,0.8933,0.9733,0.9600
60.0000,0.6667,0.9333,0.7867,0.8533,0.8933,0.9067,0.9733
65.0000,0.6667,0.9067,0.9333,0.9200,0.8667,0.9600,0.9067
70.0000,0.6667,0.8400,0.8933,0.9200,0.8267,0.9200,0.9733
75.0000,0.3600,0.7600,0.9200,0.8267,0.8267,0.9600,0.9867
80.0000,0.5867,0.9200,0.9200,0.7733,0.9200,0.9467,0.9467
85.0000,0.5867,0.6133,0.8933,0.8400,0.7733,0.8933,0.9200
90.0000,0.3333,0.3333,0.8267,0.8933,0.7600,0.9200,0.8533
95.0000,0.5867,0.5867,0.6933,0.8667,0.7200,0.9200,0.9200
100.0000,0.3333,0.5867,0.7867,0.8533,0.9067,0.8800,0.9467
